PAT;PAT NAME;PA NAME;AREA_SKM;HT1;POP;HHSize;POPDEN_SKM2;POPDENS_HA;P04;P514;P1524;P2559;P6069;P7079;P80UP;<15Y;>60Y;SR;Age Dep Ratio;HT1MEM1;FHHT1;DOPA_NSO_B100
100101;Phra Borom Maha Ratchawang;Phra Nakhon;1,517408;933;4716;5,05;3108;31;2,2;8,28;27,08;47,6;6,72;5,02;3,11;10,48;14,85;146;33,91;20,95;34,4;107
100102;Wang Burapha Phirom;Phra Nakhon;0,710812;2434;8527;3,5;11996;120;2,12;6,44;13,58;59,22;7,5;5,84;5,29;8,56;18,63;89;37,35;21,64;40,17;147
100103;Wat Ratchabophit;Phra Nakhon;0,211406;873;3311;3,79;15662;157;3,05;9,62;14,31;55,08;9,13;5,11;3,7;12,67;17,94;87;44,1;24,57;41,82;116
100104;Samran Rat;Phra Nakhon;0,230791;962;3293;3,42;14268;143;2,25;10,06;14,83;54,39;8,06;6,36;4,05;12,31;18,47;93;44,47;14,32;29,58;117
100105;San Chao Pho Suea;Phra Nakhon;0,149486;628;2523;4,02;16878;169;1,83;6,55;12,96;58,33;9,41;6,66;4,26;8,38;20,33;86;40,28;23,7;38,31;147
100106;Sao Chingcha;Phra Nakhon;0,153323;746;2745;3,68;17903;179;2,08;12,38;15,99;52,07;9,48;4,76;3,23;14,46;17,47;88;46,92;38,3;40,39;101
100107;Bowon Niwet;Phra Nakhon;0,492358;1473;4560;3,1;9262;93;2,6;9,89;15,65;55,77;8,56;4,64;2,88;12,49;16,08;86;40;23,36;37,86;135
100108;Talat Yot;Phra Nakhon;0,189091;483;1796;3,72;9498;95;2,74;8,36;15,67;54,5;8,91;5,85;3,98;11,1;18,74;76;42,52;14,83;46,92;174
100109;Chana Songkhram;Phra Nakhon;0,341022;689;2370;3,44;6950;70;1,87;9,25;16,79;54,78;8,26;6,56;2,5;11,12;17,32;88;39,73;14,68;40,44;97
100110;Ban Phan Thom;Phra Nakhon;0,41331;3081;10410;3,38;25187;252;2,97;8,35;13,42;60,84;6,85;4,53;3,04;11,32;14,42;92;34,66;25,52;49,36;77
100111;Bang Khun Phrom;Phra Nakhon;0,453078;2125;7694;3,62;16982;170;2,93;9,54;15,52;57,59;8,36;4,43;1,62;12,47;14,41;86;36,77;25,2;44,44;73
100112;Wat Sam Phraya;Phra Nakhon;0,507886;1577;4770;3,02;9392;94;3,49;8,78;16,51;52,71;9,53;6,19;2,8;12,27;18,52;96;44,48;20,91;38,43;69
100201;Dusit;Dusit;2,374978;4865;14327;2,94;6032;60;3,34;19,52;19,6;51,85;3,43;1,69;0,57;22,86;5,69;114;39,95;20,31;16,11;121
100202;Wachira Phayaban;Dusit;1,118565;4773;15397;3,23;13765;138;1,83;6,41;25,94;54,96;6,14;3,5;1,23;8,24;10,87;74;23,62;18,28;33,34;84
100203;Suan Chitlada;Dusit;1,885608;2987;9890;3,31;5245;52;3,4;8,31;11,88;62,83;7,43;4,18;1,97;11,71;13,58;93;33,85;8,16;34,82;109
100204;Si Yaek Mahanak;Dusit;0,356974;2856;6762;2,37;18943;189;2,34;6,5;18,8;63,07;6,83;1,87;0,59;8,84;9,29;88;22,14;15,18;29,22;127
100206;Thanon Nakhon Chai Si;Dusit;5,613939;19625;56280;2,87;10025;100;3,13;8,71;15,7;62,23;5,41;3,38;1,43;11,84;10,22;103;28,31;29,8;26,81;110
100301;Krathum Rai;Nong Chok;39,960539;13584;32366;2,38;810;8;3,29;9,81;20,37;61,17;3,31;1,51;0,55;13,1;5,37;102;22,64;17,61;38,04;102
100302;Nong Chok;Nong Chok;30,686723;4349;16975;3,9;553;6;6,02;16,46;15,58;53,42;5,06;2,35;1,1;22,48;8,51;98;44,91;8,19;31,81;100
100303;Khlong Sip;Nong Chok;30,774984;1684;7390;4,39;240;2;7,48;15,5;14,01;49,93;7,68;3,81;1,59;22,98;13,08;98;56,4;8,72;33,12;113
100304;Khlong Sip Song;Nong Chok;41,412308;2690;10337;3,84;250;3;6,13;14,62;13,41;55,04;6,5;3,35;0,95;20,75;10,8;103;46,11;13,11;28,95;95
100305;Khok Faet;Nong Chok;21,926453;11569;33826;2,92;1543;15;3,31;12,49;11,03;66,77;4,24;1,6;0,56;15,8;6,4;98;28,53;11,05;26,63;93
100306;Khu Fang Nuea;Nong Chok;17,806975;5254;19018;3,62;1068;11;5,73;16,75;15,62;53,02;5,51;2,23;1,14;22,48;8,88;100;45,68;20,27;38,13;80
100307;Lam Phak Chi;Nong Chok;33,108772;12454;40213;3,23;1215;12;6,25;13,68;12,49;60,01;4,49;2,41;0,66;19,93;7,56;98;37,92;17,77;35,58;70
100308;Lam Toiting;Nong Chok;24,749274;2017;7772;3,85;314;3;4,75;13,2;15,08;54,66;6,4;4,19;1,72;17,95;12,31;96;43,39;12,83;39,08;109
100401;Maha Phruettharam;Bang Rak;0,640978;4495;12738;2,83;19873;199;2,61;7,7;15,25;58,6;8,32;4,88;2,63;10,31;15,83;84;35,4;22,75;38,3;104
100402;Si Lom;Bang Rak;1,518081;6982;15190;2,18;10006;100;2,78;4,16;9,96;73,64;4,76;2,58;2,13;6,94;9,47;88;19,62;19;33,27;85
100403;Suriyawong;Bang Rak;0,605758;2868;7060;2,46;11655;117;10,82;4,3;10,75;57,15;10,51;4,33;2,15;15,12;16,99;92;47,29;22,77;31,35;77
100404;Bang Rak;Bang Rak;0,482143;926;2850;3,08;5911;59;2,27;5,92;16,33;57,15;8,27;5,12;4,95;8,19;18,34;88;36,09;27,57;42,79;119
100405;Si Phraya;Bang Rak;0,7714;5347;12890;2,41;16710;167;4,68;5,73;10,04;59,79;7,49;4,97;7,3;10,41;19,76;85;43,21;39,12;40,21;94
100502;Anusawari;Bang Khen;17,896254;55135;130393;2,36;7286;73;3,16;7,98;20,49;58,94;5,42;2,92;1,1;11,14;9,44;92;25,9;26,43;37,99;76
100508;Tha Raeng;Bang Khen;22,723585;39706;114917;2,89;5057;51;4,08;9,47;12,89;63,52;5,82;2,95;1,28;13,55;10,05;90;30,88;20,56;40,27;77
100601;Khlong Chan;Bang Kapi;11,781585;61289;157260;2,57;13348;133;2,51;5,73;21,62;62,88;4,17;2,27;0,82;8,24;7,26;88;18,34;27,94;40,83;53
100608;Hua Mak;Bang Kapi;15,861749;90333;198330;2,2;12504;125;2,35;5,12;24,91;62,91;2,76;1,32;0,63;7,47;4,71;80;13,86;47,32;55,23;33
100701;Rong Mueang;Pathum Wan;1,236329;9320;26246;2,82;21229;212;2,36;10,46;16,69;56,77;8,7;3,33;1,69;12,82;13,72;92;36,12;14,16;36,08;75
