PAT;PA;PAT NAME;PA NAME;GC00;GC01;GC02;GC03;GC04;GC05;GC06
100101;1001;Phra Borom Maha Ratchawang;Phra Nakhon;2,99;19,33;23,32;22,21;4,42;20,31;7,41
100102;1001;Wang Burapha Phirom;Phra Nakhon;5,59;20,25;14,57;19,62;3,7;29,03;7,25
100103;1001;Wat Ratchabophit;Phra Nakhon;6,61;23,71;17,18;17,86;3,7;26,54;4,39
100104;1001;Samran Rat;Phra Nakhon;8,34;17,24;17,18;17,32;6,86;24,71;8,35
100105;1001;San Chao Pho Suea;Phra Nakhon;4,16;17,45;17,91;21,4;3,98;27,29;7,81
100106;1001;Sao Chingcha;Phra Nakhon;6,43;27,9;13,21;15,72;3,49;24,28;8,96
100107;1001;Bowon Niwet;Phra Nakhon;7,59;17,32;16,2;18,6;5,12;27,95;7,22
100108;1001;Talat Yot;Phra Nakhon;8,74;10,09;14,55;26,29;5,68;28,3;6,36
100109;1001;Chana Songkhram;Phra Nakhon;8,59;20,42;14,86;19,24;5,42;24,75;6,72
100110;1001;Ban Phan Thom;Phra Nakhon;7,2;21,02;17,46;22,27;3,82;23,1;5,13
100111;1001;Bang Khun Phrom;Phra Nakhon;6,91;18,16;16,16;22,94;5,08;26,59;4,16
100112;1001;Wat Sam Phraya;Phra Nakhon;5,27;13,75;21,89;22,4;5,29;25,8;5,6
100201;1002;Dusit;Dusit;4,12;21,3;24,92;25,92;2,47;18,48;2,79
100202;1002;Wachira Phayaban;Dusit;3,35;14,19;17,2;26,42;7,29;25,99;5,56
100203;1002;Suan Chitlada;Dusit;4,18;12,19;16,17;19,93;7,82;30,08;9,63
100204;1002;Si Yaek Mahanak;Dusit;7,64;28,37;16,94;23,94;4,33;16,31;2,48
100206;1002;Thanon Nakhon Chai Si;Dusit;2,91;11;18,09;25,73;8,14;28,85;5,27
100301;1003;Krathum Rai;Nong Chok;3,37;18,55;22,49;28,11;5,98;20,01;1,48
100302;1003;Nong Chok;Nong Chok;4,58;21,7;19,66;23,21;5,62;23,12;2,11
100303;1003;Khlong Sip;Nong Chok;4,92;29,28;27,63;23,32;6,21;7,89;0,75
100304;1003;Khlong Sip Song;Nong Chok;3,52;29,74;21,49;25,45;5,56;13,16;1,07
100305;1003;Khok Faet;Nong Chok;3,67;18,03;24,77;28,96;6,42;16,99;1,16
100306;1003;Khu Fang Nuea;Nong Chok;2,72;19,73;38,46;25,62;2,73;9,97;0,77
100307;1003;Lam Phak Chi;Nong Chok;4;22,51;19,74;18,8;6,1;22,94;5,9
100308;1003;Lam Toiting;Nong Chok;4,97;34,04;25,12;15,87;7,89;10,79;1,32
100401;1004;Maha Phruettharam;Bang Rak;7,9;16,36;15,96;22,59;5,6;26,18;5,41
100402;1004;Si Lom;Bang Rak;5,21;13,66;12,95;19,47;3,1;39,36;6,25
100403;1004;Suriyawong;Bang Rak;5,92;37,29;17,18;12,59;2,4;17,25;7,38
100404;1004;Bang Rak;Bang Rak;6,46;21,26;18,77;19,3;7,33;20,28;6,6
100405;1004;Si Phraya;Bang Rak;4,6;16,56;13,99;21,42;5,17;29,58;8,67
100502;1005;Anusawari;Bang Khen;2,43;13,59;16,53;26,27;6,17;28,42;6,59
100508;1005;Tha Raeng;Bang Khen;2,74;12,51;16,57;19,66;7,46;34,04;7,02
