PAT;PAT NAME;PA NAME;EMPYER;NOEMPYEE;NOPAYEMP;GOVEMYEE;STAEMYEE;EMPLYEE;GROUPEMP;TOCC0_100wrk;TOCC1;TOCC2;TOCC3;TOCC4;TOCC5;TOCC6;TOCC7;TOCC8;TOCC9;TTOCC;AGRI;MANU;TRDSRV
100101;Phra Borom Maha Ratchawang;Phra Nakhon;17,45;5,2;10,84;40,31;0,72;16,81;8,66;30;1,6;6,97;12,44;3,78;43,64;0,12;0,45;0,43;2,31;28,25;0,56;2,96;96,48
100102;Wang Burapha Phirom;Phra Nakhon;11,61;22,64;17,97;7,19;1,02;39,57;0;43;2,36;7,64;4,09;6,05;57,09;0;9,22;1,23;12,33;0;0;9,37;90,63
100103;Wat Ratchabophit;Phra Nakhon;12,66;20,42;11,88;6,38;2,19;44,24;2,23;72;4,15;8,55;6,49;6,91;45,71;0;18,23;0,94;9,02;0;0;21,2;78,8
100104;Samran Rat;Phra Nakhon;4,82;27,48;16,63;7,76;2,32;41;0;54;2,22;4,59;11,58;9,25;51,32;0;8,01;2,19;10,3;0,54;0;5,37;94,63
100105;San Chao Pho Suea;Phra Nakhon;3,2;21,79;12,07;6,24;0,26;56,31;0,13;49;3,29;7,02;1,78;9,57;38,8;0,15;19,12;0,68;18,4;1,19;0;25,52;74,48
100106;Sao Chingcha;Phra Nakhon;3,39;20,92;10,32;20,96;0;44,41;0;45;3,24;13,93;20,72;10,38;43,78;0;1,26;3,31;3,37;0;0;5,85;94,15
100107;Bowon Niwet;Phra Nakhon;6,41;32,94;5,14;10,38;1,67;43,11;0,35;56;5,11;6,9;10,86;8,7;51,43;0,72;3,15;2,82;10,08;0,23;0,85;9,5;89,64
100108;Talat Yot;Phra Nakhon;15,76;28,45;11,24;15,29;0,97;28,19;0,1;53;2,54;2,76;3,34;4,44;82,02;0;0,51;0,35;3,81;0,23;0;2;98
100109;Chana Songkhram;Phra Nakhon;10,84;32,25;13,07;9,66;2,33;31,83;0;190;2,79;9,16;2,48;4,73;70,29;0;5,21;1,18;3,8;0,37;0;6,05;93,95
100110;Ban Phan Thom;Phra Nakhon;6,16;31,96;4,62;8,64;0,85;47,67;0,1;51;4;8,46;6,99;5,44;53,21;0;8,22;5,64;7,33;0,72;0,29;10,47;89,23
100111;Bang Khun Phrom;Phra Nakhon;4,1;23,23;4,86;25,49;2,15;39,79;0,37;50;4,88;8,4;8,82;12,94;43,22;0,05;6,5;6,51;6,36;2,32;0,14;7,69;92,17
100112;Wat Sam Phraya;Phra Nakhon;15,73;18,66;4,3;13,15;1,24;46,91;0;66;5,48;7,27;8,21;8,23;49,79;0,1;3,95;4,96;11,44;0,57;0,21;9,66;90,14
100201;Dusit;Dusit;1,63;16;1,96;52,83;1,81;25,77;0;87;11,64;12,13;12,34;11,12;39,16;0,32;1,38;1,24;6,53;4,13;0;9,54;90,46
100202;Wachira Phayaban;Dusit;1,45;19,53;6,28;40,58;1,22;30,83;0,11;58;7,73;12,63;5,75;13,11;37,47;0,34;6,01;6,33;9,67;0,95;0;6,21;93,79
100203;Suan Chitlada;Dusit;8,33;13,92;4,88;21,74;2,71;48,41;0;48;7,9;12,61;8,6;17,15;34,54;0;4,18;5,96;8,82;0,24;0,68;8,12;91,2
100204;Si Yaek Mahanak;Dusit;12,41;19,94;8,87;7,08;0,5;51,08;0,12;51;1,36;8,06;6,88;7,62;56,38;0;3,41;6,93;9,37;0;0;8,61;91,39
100206;Thanon Nakhon Chai Si;Dusit;2,76;12,57;2,64;53,36;2,12;26,48;0,09;42;4,68;9,61;7,56;11,66;21,42;0,09;4,82;4,37;6,86;28,94;0,09;7,06;92,85
