province,district,commune,ethny,sex,age,n
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[0, 1)",163
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[1, 2)",144
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[2, 3)",138
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[3, 4)",146
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[4, 5)",154
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[5, 6)",165
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[6, 7)",120
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[7, 8)",111
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[8, 9)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[9, 10)",133
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[10, 11)",116
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[11, 12)",115
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[12, 13)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[13, 14)",96
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[14, 15)",109
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[15, 16)",95
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[16, 17)",87
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[17, 18)",110
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[18, 19)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[19, 20)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[20, 21)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[21, 22)",96
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[22, 23)",103
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[23, 24)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[24, 25)",118
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[25, 26)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[26, 27)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[27, 28)",123
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[28, 29)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[29, 30)",140
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[30, 31)",144
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[31, 32)",121
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[32, 33)",138
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[33, 34)",134
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[34, 35)",129
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[35, 36)",133
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[36, 37)",68
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[37, 38)",112
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[38, 39)",99
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[39, 40)",74
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[40, 41)",120
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[41, 42)",64
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[42, 43)",86
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[43, 44)",88
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[44, 45)",76
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[45, 46)",80
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[46, 47)",78
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[47, 48)",88
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[48, 49)",91
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[49, 50)",61
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[50, 51)",77
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[51, 52)",75
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[52, 53)",82
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[53, 54)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[54, 55)",97
